GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
training-bookshelf,jp.co.skig.training.bookshelf.controller,BookValidationSupport,0,285,0,30,0,42,0,16,0,1
training-bookshelf,jp.co.skig.training.bookshelf.controller,BookRegisterController,0,306,0,10,0,76,0,16,0,11
training-bookshelf,jp.co.skig.training.bookshelf.controller,ReviewController,0,390,0,30,0,80,0,20,0,5
training-bookshelf,jp.co.skig.training.bookshelf.controller,BookEditController,0,434,0,18,0,109,0,22,0,13
training-bookshelf,jp.co.skig.training.bookshelf.controller,BookDeleteController,0,82,0,4,0,21,0,6,0,4
training-bookshelf,jp.co.skig.training.bookshelf.controller,BookListController,0,208,0,20,0,42,0,13,0,3
training-bookshelf,jp.co.skig.training.bookshelf.controller,BookDetailController,0,52,0,2,0,11,0,3,0,2
training-bookshelf,jp.co.skig.training.bookshelf.service,BookService,0,67,0,6,0,12,0,11,0,8
training-bookshelf,jp.co.skig.training.bookshelf.service,CategoryService,0,4,0,0,0,1,0,1,0,1
training-bookshelf,jp.co.skig.training.bookshelf.service,ReviewService,0,37,0,4,0,8,0,5,0,3
training-bookshelf,jp.co.skig.training.bookshelf.util,ExceptionLogger,0,17,0,0,0,3,0,2,0,2
training-bookshelf,jp.co.skig.training.bookshelf.util,MessageUtil,0,12,0,0,0,4,0,3,0,3
training-bookshelf,jp.co.skig.training.bookshelf,HelloController,2,3,0,0,1,1,1,1,1,1
training-bookshelf,jp.co.skig.training.bookshelf,TrainingBookshelfApplication,5,3,0,0,2,1,1,1,1,1
